pickup_location,drop_location,pickup_date,pickup_time,pickup_hour,time_of_day,weekday,is_weekend,season,passenger_count,trip_distance_km,traffic_level,actual_eta_minutes,average_speed,surge_multiplier
Bedford-Stuyvesant,Harlem,14-03-2016,17:24,17,Afternoon,Monday,0,Spring,1,1.96,High,7.6,15.5,1.8
Chelsea,South Slope,12-06-2016,00:43,0,Night,Sunday,1,Summer,1,2.27,Low,11.0,12.4,1.0
Upper West Side,East Harlem,19-01-2016,11:35,11,Morning,Tuesday,0,Winter,1,6.65,Low,35.4,11.3,1.0
East Harlem,Bedford-Stuyvesant,06-04-2016,19:32,19,Evening,Wednesday,0,Spring,1,1.49,High,7.2,12.4,1.8
South Slope,East Harlem,26-03-2016,13:30,13,Afternoon,Saturday,1,Spring,1,1.19,Low,7.2,9.9,1.0
West Village,East Harlem,30-01-2016,22:01,22,Evening,Saturday,1,Winter,6,1.28,Low,7.4,10.4,1.0
Hell's Kitchen,Upper West Side,17-06-2016,22:34,22,Evening,Friday,0,Summer,4,1.57,Low,5.7,16.5,1.0
Upper West Side,Bedford-Stuyvesant,21-05-2016,07:54,7,Morning,Saturday,1,Spring,1,6.64,Medium,25.8,15.4,1.3
South Slope,East Harlem,27-05-2016,23:12,23,Evening,Friday,0,Spring,1,1.64,Low,4.2,23.4,1.0
Fort Greene,Upper West Side,10-03-2016,21:45,21,Evening,Thursday,0,Spring,1,5.15,Low,20.4,15.1,1.0
Fort Greene,Williamsburg,10-05-2016,22:08,22,Evening,Tuesday,0,Spring,1,4.06,Low,21.2,11.5,1.0
Murray Hill,Chelsea,15-05-2016,11:16,11,Morning,Sunday,1,Spring,4,4.54,Low,18.8,14.5,1.0
Bedford-Stuyvesant,South Slope,19-02-2016,09:52,9,Morning,Friday,0,Winter,2,2.42,High,18.6,7.8,1.8
West Village,Upper West Side,01-06-2016,20:58,20,Evening,Wednesday,0,Summer,1,1.22,Medium,4.3,17.0,1.3
Upper West Side,Upper West Side,27-05-2016,00:43,0,Night,Friday,0,Spring,1,6.5,Low,23.6,16.5,1.0
West Village,South Slope,16-05-2016,15:29,15,Afternoon,Monday,0,Spring,1,0.82,Low,3.5,14.1,1.0
Bedford-Stuyvesant,Hell's Kitchen,11-04-2016,17:29,17,Afternoon,Monday,0,Spring,1,3.47,High,38.6,5.4,1.8
East Harlem,Upper West Side,14-04-2016,08:48,8,Morning,Thursday,0,Spring,1,2.56,High,12.2,12.6,1.8
Harlem,Upper West Side,27-06-2016,09:55,9,Morning,Monday,0,Summer,1,4.94,High,22.0,13.5,1.8
West Village,South Slope,05-06-2016,13:47,13,Afternoon,Sunday,1,Summer,1,1.4,Low,4.2,20.0,1.0
Park Slope,South Slope,28-02-2016,02:23,2,Night,Sunday,1,Winter,1,2.81,Low,8.1,20.8,1.0
Kensington,Upper West Side,01-04-2016,12:12,12,Afternoon,Friday,0,Spring,1,2.06,Low,10.9,11.3,1.0
Upper West Side,Harlem,09-04-2016,03:34,3,Night,Saturday,1,Spring,1,2.07,Low,7.0,17.7,1.0
Bedford-Stuyvesant,West Village,25-06-2016,10:36,10,Morning,Saturday,1,Summer,1,4.95,Medium,19.4,15.3,1.3
Eltingville,Tottenville,03-06-2016,08:15,8,Morning,Friday,0,Summer,1,23.84,High,41.4,34.6,1.8
Williamsburg,Kensington,14-02-2016,13:27,13,Afternoon,Sunday,1,Winter,1,4.74,Low,21.4,13.3,1.0
Upper West Side,Chinatown,27-02-2016,21:56,21,Evening,Saturday,1,Winter,1,6.31,Low,18.8,20.1,1.0
Inwood,Upper West Side,20-06-2016,23:07,23,Evening,Monday,0,Summer,1,3.79,Low,11.6,19.6,1.0
South Slope,Harlem,13-06-2016,21:57,21,Evening,Monday,0,Summer,1,2.65,Low,14.9,10.7,1.0
Randall Manor,Oakwood,23-03-2016,14:10,14,Afternoon,Wednesday,0,Spring,1,13.02,Low,38.8,20.1,1.0
Clinton Hill,Clinton Hill,17-05-2016,10:47,10,Morning,Tuesday,0,Spring,1,4.91,Medium,24.6,12.0,1.3
Port Richmond,Neponsit,21-05-2016,13:03,13,Afternoon,Saturday,1,Spring,1,5.48,Low,17.5,18.8,1.0
Hell's Kitchen,Upper West Side,10-05-2016,19:27,19,Evening,Tuesday,0,Spring,2,4.71,High,17.0,16.6,1.8
East Flatbush,Arden Heights,17-04-2016,14:38,14,Afternoon,Sunday,1,Spring,1,13.39,Low,37.8,21.3,1.0
Murray Hill,Upper West Side,09-01-2016,12:55,12,Afternoon,Saturday,1,Winter,1,1.62,Low,11.8,8.2,1.0
South Slope,Harlem,11-03-2016,07:11,7,Morning,Friday,0,Spring,1,1.89,Medium,8.8,12.9,1.3
South Slope,East Harlem,05-01-2016,15:29,15,Afternoon,Tuesday,0,Winter,3,1.24,Low,9.2,8.1,1.0
Harlem,Hell's Kitchen,23-06-2016,23:00,23,Evening,Thursday,0,Summer,1,1.09,Low,4.6,14.2,1.0
Midtown,East Harlem,27-05-2016,14:26,14,Afternoon,Friday,0,Spring,2,3.46,Low,19.8,10.5,1.0
Harlem,Upper West Side,10-05-2016,16:14,16,Afternoon,Tuesday,0,Spring,1,3.41,Medium,25.4,8.1,1.3
East Harlem,Bedford-Stuyvesant,21-04-2016,21:28,21,Evening,Thursday,0,Spring,2,5.62,Low,24.2,13.9,1.0
East Harlem,Kensington,14-04-2016,13:27,13,Afternoon,Thursday,0,Spring,2,2.67,Low,18.4,8.7,1.0
Todt Hill,Bayswater,14-03-2016,14:05,14,Afternoon,Monday,0,Spring,1,2.53,Low,22.4,6.8,1.0
Harlem,Inwood,19-03-2016,01:12,1,Night,Saturday,1,Spring,1,1.18,Low,6.0,11.8,1.0
Park Slope,Inwood,12-02-2016,07:41,7,Morning,Friday,0,Winter,1,2.45,Medium,9.3,15.8,1.3
South Slope,East Harlem,13-06-2016,15:52,15,Afternoon,Monday,0,Summer,1,8.53,Low,24.6,20.8,1.0
Crown Heights,Inwood,03-01-2016,16:59,16,Afternoon,Sunday,1,Winter,1,1.35,Medium,5.8,14.0,1.3
Hell's Kitchen,East Harlem,26-02-2016,08:37,8,Morning,Friday,0,Winter,1,1.97,High,6.2,19.1,1.8
Midtown,Upper West Side,18-05-2016,21:50,21,Evening,Wednesday,0,Spring,3,5.4,Low,20.3,16.0,1.0
Clinton Hill,Upper West Side,10-04-2016,19:11,19,Evening,Sunday,1,Spring,1,3.49,High,14.6,14.3,1.8
Fort Hamilton,Tottenville,19-01-2016,23:19,23,Evening,Tuesday,0,Winter,1,22.02,Low,26.0,50.8,1.0
Kensington,Hell's Kitchen,07-05-2016,13:18,13,Afternoon,Saturday,1,Spring,1,4.83,Low,27.4,10.6,1.0
Fort Hamilton,Far Rockaway,15-02-2016,09:25,9,Morning,Monday,0,Winter,6,2.66,High,10.6,15.1,1.8
Murray Hill,Harlem,13-04-2016,14:24,14,Afternoon,Wednesday,0,Spring,1,1.3,Low,6.1,12.8,1.0
Kensington,Bedford-Stuyvesant,15-05-2016,09:42,9,Morning,Sunday,1,Spring,1,10.21,High,13.6,45.0,1.8
Tottenville,Huguenot,19-04-2016,11:29,11,Morning,Tuesday,0,Spring,3,4.02,Low,58.8,4.1,1.0
Upper West Side,West Village,02-01-2016,15:41,15,Afternoon,Saturday,1,Winter,2,1.56,Low,20.5,4.6,1.0
Crown Heights,East Harlem,22-04-2016,11:28,11,Morning,Friday,0,Spring,1,4.63,Low,43.4,6.4,1.0
Bedford-Stuyvesant,Upper West Side,14-03-2016,15:04,15,Afternoon,Monday,0,Spring,1,2.53,Low,11.6,13.1,1.0
West Village,Fort Greene,19-03-2016,17:41,17,Afternoon,Saturday,1,Spring,1,4.46,High,7.9,33.9,1.8
South Slope,Bedford-Stuyvesant,29-02-2016,02:46,2,Night,Monday,0,Winter,1,3.33,Low,8.8,22.7,1.0
Harlem,Harlem,07-01-2016,17:01,17,Afternoon,Thursday,0,Winter,4,2.69,High,12.0,13.4,1.8
Harlem,Harlem,13-05-2016,12:32,12,Afternoon,Friday,0,Spring,1,1.73,Low,8.5,12.2,1.0
Inwood,Clinton Hill,24-05-2016,12:16,12,Afternoon,Tuesday,0,Spring,1,3.46,Low,12.0,17.3,1.0
Fort Greene,Fort Greene,10-04-2016,16:07,16,Afternoon,Sunday,1,Spring,1,1.3,Medium,2.9,26.9,1.3
South Slope,Crown Heights,21-05-2016,17:38,17,Afternoon,Saturday,1,Spring,1,1.34,High,8.0,10.0,1.8
West Village,South Slope,29-02-2016,11:22,11,Morning,Monday,0,Winter,1,2.71,Low,13.1,12.4,1.0
Harlem,Harlem,25-06-2016,22:05,22,Evening,Saturday,1,Summer,2,14.22,Low,16.7,51.1,1.0
Upper West Side,Bedford-Stuyvesant,18-03-2016,20:56,20,Evening,Friday,0,Spring,1,0.63,Medium,3.6,10.5,1.3
Bensonhurst,Sheepshead Bay,03-02-2016,16:22,16,Afternoon,Wednesday,0,Winter,5,2.93,Medium,14.5,12.1,1.3
Great Kills,Arden Heights,07-06-2016,22:32,22,Evening,Tuesday,0,Summer,1,6.12,Low,13.6,27.0,1.0
Bedford-Stuyvesant,Park Slope,16-03-2016,20:13,20,Evening,Wednesday,0,Spring,1,1.36,Medium,10.6,7.7,1.3
Upper West Side,Upper West Side,20-02-2016,21:58,21,Evening,Saturday,1,Winter,1,0.4,Low,1.0,24.0,1.0
East Harlem,Upper West Side,20-02-2016,18:57,18,Evening,Saturday,1,Winter,2,1.38,High,9.8,8.4,1.8
Kensington,"Bay Terrace, Staten Island",24-03-2016,17:58,17,Afternoon,Thursday,0,Spring,1,14.16,High,37.9,22.4,1.8
Upper West Side,Williamsburg,20-03-2016,23:16,23,Evening,Sunday,1,Spring,1,3.71,Low,10.8,20.6,1.0
Bedford-Stuyvesant,West Village,16-05-2016,13:07,13,Afternoon,Monday,0,Spring,3,5.55,Low,27.1,12.3,1.0
Upper West Side,Bedford-Stuyvesant,17-06-2016,17:32,17,Afternoon,Friday,0,Summer,1,5.95,High,39.0,9.2,1.8
Midtown,Bedford-Stuyvesant,23-03-2016,00:34,0,Night,Wednesday,0,Spring,1,4.23,Low,11.2,22.7,1.0
Harlem,Harlem,12-04-2016,21:29,21,Evening,Tuesday,0,Spring,1,6.82,Low,19.8,20.7,1.0
West Village,South Slope,11-06-2016,12:52,12,Afternoon,Saturday,1,Summer,1,6.27,Low,19.8,19.0,1.0
Park Slope,Midtown,25-02-2016,14:56,14,Afternoon,Thursday,0,Winter,1,1.59,Low,13.1,7.3,1.0
Bedford-Stuyvesant,Williamsburg,07-01-2016,19:32,19,Evening,Thursday,0,Winter,1,1.59,High,8.7,11.0,1.8
South Slope,Kensington,05-06-2016,18:43,18,Evening,Sunday,1,Summer,1,1.1,High,3.6,18.3,1.8
Bedford-Stuyvesant,Harlem,13-06-2016,07:20,7,Morning,Monday,0,Summer,1,1.0,Medium,3.7,16.2,1.3
Bedford-Stuyvesant,East Harlem,16-01-2016,21:22,21,Evening,Saturday,1,Winter,1,5.28,Low,20.1,15.8,1.0
Tottenville,Great Kills,06-04-2016,23:42,23,Evening,Wednesday,0,Spring,1,23.62,Low,29.7,47.7,1.0
Concord,Flatlands,13-05-2016,20:46,20,Evening,Friday,0,Spring,2,1.91,Medium,19.6,5.8,1.3
Upper West Side,South Slope,28-01-2016,11:25,11,Morning,Thursday,0,Winter,1,0.95,Low,5.6,10.2,1.0
Chelsea,Clinton Hill,24-06-2016,14:24,14,Afternoon,Friday,0,Summer,1,1.75,Low,7.8,13.5,1.0
Midtown,East Harlem,27-05-2016,16:17,16,Afternoon,Friday,0,Spring,1,1.76,Medium,5.8,18.2,1.3
Clinton Hill,Midtown,22-05-2016,15:41,15,Afternoon,Sunday,1,Spring,1,1.51,Low,7.0,12.9,1.0
Arverne,Brighton Beach,18-05-2016,19:15,19,Evening,Wednesday,0,Spring,1,12.51,High,29.4,25.5,1.8
Great Kills,Flatlands,31-03-2016,11:33,11,Morning,Thursday,0,Spring,3,13.53,Low,39.0,20.8,1.0
Fort Hamilton,Rockaway Beach,13-02-2016,13:12,13,Afternoon,Saturday,1,Winter,1,1.85,Low,6.8,16.3,1.0
Fort Greene,Park Slope,20-01-2016,19:21,19,Evening,Wednesday,0,Winter,1,2.73,High,9.9,16.5,1.8
East Harlem,South Slope,02-06-2016,23:34,23,Evening,Thursday,0,Summer,1,1.44,Low,7.2,12.0,1.0
East Harlem,Kensington,04-02-2016,13:22,13,Afternoon,Thursday,0,Winter,1,3.1,Low,18.5,10.1,1.0
Tottenville,Great Kills,30-03-2016,16:14,16,Afternoon,Wednesday,0,Spring,1,20.65,Medium,47.1,26.3,1.3
Fort Hamilton,Fort Hamilton,29-04-2016,10:40,10,Morning,Friday,0,Spring,2,1.66,Medium,12.8,7.8,1.3
Chinatown,East Harlem,01-06-2016,11:48,11,Morning,Wednesday,0,Summer,1,3.67,Low,30.4,7.2,1.0
Clinton Hill,Hell's Kitchen,18-05-2016,21:09,21,Evening,Wednesday,0,Spring,1,1.21,Low,9.9,7.3,1.0
Prince's Bay,Prince's Bay,19-02-2016,20:01,20,Evening,Friday,0,Winter,3,24.09,Medium,34.4,42.0,1.3
Kensington,South Slope,15-03-2016,21:03,21,Evening,Tuesday,0,Spring,1,3.49,Low,10.9,19.2,1.0
Tottenville,Eltingville,06-06-2016,20:13,20,Evening,Monday,0,Summer,6,23.64,Medium,31.4,45.2,1.3
South Slope,East Harlem,27-01-2016,08:07,8,Morning,Wednesday,0,Winter,1,2.51,High,16.5,9.1,1.8
East Harlem,Bedford-Stuyvesant,09-04-2016,15:04,15,Afternoon,Saturday,1,Spring,1,2.7,Low,7.0,23.1,1.0
Murray Hill,Clinton Hill,27-05-2016,11:10,11,Morning,Friday,0,Spring,4,1.47,Low,16.0,5.5,1.0
Hell's Kitchen,East Harlem,10-05-2016,10:31,10,Morning,Tuesday,0,Spring,1,1.04,Medium,4.0,15.6,1.3
East Harlem,Kensington,10-01-2016,08:45,8,Morning,Sunday,1,Winter,2,1.57,High,6.2,15.2,1.8
East Harlem,Upper West Side,18-02-2016,17:47,17,Afternoon,Thursday,0,Winter,2,1.18,High,6.4,11.1,1.8
"Bay Terrace, Staten Island",Arverne,22-05-2016,17:34,17,Afternoon,Sunday,1,Spring,1,17.48,High,45.9,22.8,1.8
Gravesend,Bensonhurst,12-03-2016,20:39,20,Evening,Saturday,1,Spring,1,4.51,Medium,26.0,10.4,1.3
Hell's Kitchen,Fort Greene,26-01-2016,23:40,23,Evening,Tuesday,0,Winter,1,5.57,Low,8.4,39.8,1.0
Kensington,Crown Heights,30-01-2016,15:15,15,Afternoon,Saturday,1,Winter,2,3.78,Low,15.0,15.1,1.0
Williamsburg,Tottenville,27-06-2016,00:31,0,Night,Monday,0,Summer,1,27.13,Low,35.3,46.1,1.0
South Slope,Clinton Hill,02-05-2016,06:58,6,Morning,Monday,0,Spring,1,2.95,Low,10.2,17.4,1.0
