pickup_location,drop_location,pickup_hour,weekday,is_weekend,season,trip_distance_km,traffic_level,passenger_count,surge_multiplier
Bedford-Stuyvesant,Harlem,17,Monday,0,Spring,1.96,High,1,1.8
Chelsea,South Slope,0,Sunday,1,Summer,2.27,Low,1,1.0
Upper West Side,East Harlem,11,Tuesday,0,Winter,6.65,Low,1,1.0
East Harlem,Bedford-Stuyvesant,19,Wednesday,0,Spring,1.49,High,1,1.8
South Slope,East Harlem,13,Saturday,1,Spring,1.19,Low,1,1.0
West Village,East Harlem,22,Saturday,1,Winter,1.28,Low,6,1.0
Hell's Kitchen,Upper West Side,22,Friday,0,Summer,1.57,Low,4,1.0
Upper West Side,Bedford-Stuyvesant,7,Saturday,1,Spring,6.64,Medium,1,1.3
South Slope,East Harlem,23,Friday,0,Spring,1.64,Low,1,1.0
Fort Greene,Upper West Side,21,Thursday,0,Spring,5.15,Low,1,1.0
Fort Greene,Williamsburg,22,Tuesday,0,Spring,4.06,Low,1,1.0
Murray Hill,Chelsea,11,Sunday,1,Spring,4.54,Low,4,1.0
Bedford-Stuyvesant,South Slope,9,Friday,0,Winter,2.42,High,2,1.8
West Village,Upper West Side,20,Wednesday,0,Summer,1.22,Medium,1,1.3
Upper West Side,Upper West Side,0,Friday,0,Spring,6.5,Low,1,1.0
West Village,South Slope,15,Monday,0,Spring,0.82,Low,1,1.0
Bedford-Stuyvesant,Hell's Kitchen,17,Monday,0,Spring,3.47,High,1,1.8
East Harlem,Upper West Side,8,Thursday,0,Spring,2.56,High,1,1.8
Harlem,Upper West Side,9,Monday,0,Summer,4.94,High,1,1.8
West Village,South Slope,13,Sunday,1,Summer,1.4,Low,1,1.0
Park Slope,South Slope,2,Sunday,1,Winter,2.81,Low,1,1.0
Kensington,Upper West Side,12,Friday,0,Spring,2.06,Low,1,1.0
Upper West Side,Harlem,3,Saturday,1,Spring,2.07,Low,1,1.0
Bedford-Stuyvesant,West Village,10,Saturday,1,Summer,4.95,Medium,1,1.3
Eltingville,Tottenville,8,Friday,0,Summer,23.84,High,1,1.8
Williamsburg,Kensington,13,Sunday,1,Winter,4.74,Low,1,1.0
Upper West Side,Chinatown,21,Saturday,1,Winter,6.31,Low,1,1.0
Inwood,Upper West Side,23,Monday,0,Summer,3.79,Low,1,1.0
South Slope,Harlem,21,Monday,0,Summer,2.65,Low,1,1.0
Randall Manor,Oakwood,14,Wednesday,0,Spring,13.02,Low,1,1.0
Clinton Hill,Clinton Hill,10,Tuesday,0,Spring,4.91,Medium,1,1.3
Port Richmond,Neponsit,13,Saturday,1,Spring,5.48,Low,1,1.0
Hell's Kitchen,Upper West Side,19,Tuesday,0,Spring,4.71,High,2,1.8
East Flatbush,Arden Heights,14,Sunday,1,Spring,13.39,Low,1,1.0
Murray Hill,Upper West Side,12,Saturday,1,Winter,1.62,Low,1,1.0
South Slope,Harlem,7,Friday,0,Spring,1.89,Medium,1,1.3
South Slope,East Harlem,15,Tuesday,0,Winter,1.24,Low,3,1.0
Harlem,Hell's Kitchen,23,Thursday,0,Summer,1.09,Low,1,1.0
Midtown,East Harlem,14,Friday,0,Spring,3.46,Low,2,1.0
